20,-28.38200808,-30.83551579
20.6542484,-28.99860164,-31.09279854
21.32989884,-29.25343749,-31.36438651
22.02765145,-29.46998739,-31.59163176
22.74822924,-29.66725973,-31.79412635
23.49237886,-29.87093484,-31.99724963
24.26087142,-30.06175719,-32.18377185
25.05450324,-30.24324267,-32.35664451
25.87409667,-30.43316462,-32.5401498
26.72050098,-30.61576148,-32.7129824
27.59459323,-30.79750767,-32.8846429
28.49727915,-30.98078214,-33.05930703
29.42949411,-31.16309552,-33.22996071
30.39220408,-31.33703641,-33.39592391
31.38640662,-31.52328527,-33.56735344
32.41313193,-31.69894818,-33.73228762
33.47344392,-31.87578865,-33.89892096
34.56844127,-32.06330726,-34.07540563
35.69925863,-32.23903268,-34.23577696
36.86706777,-32.42904457,-34.41251451
38.07307877,-32.6071399,-34.57750353
39.31854131,-32.77984014,-34.73669911
40.60474595,-32.97168796,-34.92173766
41.93302545,-33.1403814,-34.71804953
43.30475618,-33.31772144,-34.95339356
44.72135955,-33.51799498,-35.17106455
46.18430344,-33.69480506,-35.10555493
47.69510377,-33.88705809,-35.27859352
49.25532603,-34.05201673,-35.43066597
50.86658694,-34.23876389,-35.60827913
52.53055609,-34.44209539,-35.76252522
54.2489577,-34.59766649,-35.92707464
56.02357238,-34.81593294,-36.08772726
57.856239,-34.97788302,-36.24847231
59.74885659,-34.78910335,-36.40587223
61.70338627,-34.94425309,-36.56634992
63.72185335,-35.10603042,-36.72849708
65.80634938,-35.08765193,-36.7113346
67.95903431,-35.34955597,-36.96875485
70.18213877,-35.59142136,-37.20914849
72.47796637,-35.81728973,-37.43616272
74.84889604,-36.03212356,-37.65563046
77.29738455,-36.24124161,-37.86723826
79.82596905,-36.44694331,-38.078223
82.43726967,-36.64364631,-38.27841147
85.13399225,-36.84107779,-38.48009825
87.91893115,-37.03369386,-38.67835957
90.79497215,-37.22942957,-38.87808082
93.7650954,-37.41916656,-39.07365168
96.83237857,-37.61239471,-39.27470923
100,-37.55017106,-39.24058211
101.1025023,-37.51873532,-39.21385985
102.2171598,-37.60548333,-39.25212024
103.3441064,-32.84273188,-39.34170882
104.4834776,-37.73318174,-39.42624919
105.6354104,-37.81710295,-39.52239329
106.8000433,-37.90399759,-39.59602978
107.9775162,-37.98153416,-39.68670415
109.1679709,-38.06424424,-39.76735757
110.3715503,-38.15762025,-39.84837537
111.5883993,-38.23491912,-39.92873089
112.818664,-38.32047264,-40.01695013
114.0624924,-38.41158391,-40.10263832
115.320034,-38.48072619,-40.17320577
116.5914401,-38.56570397,-40.27551328
117.8768635,-38.65364714,-40.36190159
119.1764587,-38.73298162,-40.42843896
120.4903819,-38.81300559,-40.5299254
121.8187912,-38.8903716,-40.59463048
123.1618462,-38.98665771,-40.68892612
124.5197085,-39.0561468,-40.78110711
125.8925412,-39.12704887,-40.85823525
127.2805094,-39.20112939,-40.92449009
128.68378,-39.28430696,-41.00561936
130.1025217,-39.36163203,-41.0986646
131.536905,-39.44005911,-41.19214414
132.9871025,-39.5356185,-41.28228614
134.4532884,-39.62984413,-41.34512436
135.9356391,-39.68187904,-41.42334355
137.4343327,-39.78202692,-41.5313932
138.9495494,-39.85178859,-41.57588009
140.4814715,-39.93883925,-41.69063418
142.030283,-39.99431653,-41.75899055
143.5961702,-40.09896765,-41.8230253
145.1793213,-40.18867893,-41.9250262
146.7799268,-40.25274732,-42.02553086
148.3981789,-40.32533959,-42.11233686
150.0342723,-40.4048113,-42.19435939
151.6884037,-40.48907076,-42.27581764
153.3607719,-40.58119493,-42.35722981
155.051578,-40.67352492,-42.41882998
156.7610253,-40.73822212,-42.48218096
158.4893192,-40.79359473,-42.6062296
160.2366677,-40.90900516,-42.68083529
162.0032807,-40.96142285,-42.74208083
163.7893707,-41.06250767,-42.85492943
165.5951523,-41.12050102,-42.91491446
167.4208428,-41.2355458,-43.00476967
169.2666615,-41.28384104,-43.11403065
171.1328304,-41.36550691,-43.16849619
173.0195739,-41.46936358,-43.23999347
174.9271187,-41.55941438,-43.33716256
176.8556943,-41.63413846,-43.43623547
178.8055325,-41.71538884,-43.52568307
180.7768677,-41.79032455,-43.60701679
182.7699369,-41.88450075,-43.67793317
184.7849797,-41.96294624,-43.7536416
186.8222385,-42.03602126,-43.8376299
188.881958,-42.09833589,-43.9478917
190.9643861,-42.20153224,-44.04601102
193.0697729,-42.29737986,-44.09597655
195.1983717,-42.34080353,-44.20808395
197.3504383,-42.46191084,-44.28052215
199.5262315,-42.52127771,-44.38208846
201.7260129,-42.62781451,-44.45106629
203.9500469,-42.67888017,-44.57065492
206.198601,-42.79066279,-44.61970849
208.4719454,-42.87505719,-44.72454812
210.7703534,-42.94182337,-44.83345891
213.0941015,-43.02713847,-44.90757109
215.443469,-43.12662309,-44.98331347
217.8187383,-43.2148165,-45.06212612
220.220195,-43.31244209,-45.15799722
222.6481278,-43.3955104,-45.25107464
225.1028286,-43.47532851,-45.34157712
227.5845926,-43.56889969,-45.41906681
230.0937181,-43.64787878,-45.50959687
232.6305067,-43.72160948,-45.60380485
235.1952635,-43.81234521,-45.66971187
237.7882968,-43.92124338,-45.78046703
240.4099184,-43.98077688,-45.87628474
243.0604433,-44.0890778,-45.9511382
245.7401904,-44.16290751,-46.05002089
248.4494818,-44.26994242,-46.14244978
251.1886432,-44.34959152,-46.22534297
253.9580038,-44.43578649,-46.32155811
256.7578968,-44.52235872,-46.42492059
259.5886586,-44.61210309,-46.52125996
262.4506297,-44.70887728,-46.61295014
265.344154,-44.7940267,-46.69637436
268.2695795,-44.88130315,-46.7894398
