20	-27.0000 	-21.1551 
29	-28.5667 	-23.4536 
38	-30.3000 	-25.2632 
47	-31.6333 	-26.6422 
56	-32.7286 	-27.9489 
65	-33.6897 	-29.0609 
74	-34.6435 	-29.9716 
83	-35.4000 	-30.6670 
92	-36.0388 	-31.5575 
101	-36.6333 	-32.1822 
110	-37.1857 	-33.0116 
119	-37.8571 	-33.6634 
128	-38.3500 	-34.2162 
137	-38.8500 	-34.6228 
146	-39.4125 	-35.0806 
155	-39.8667 	-35.5863 
164	-40.4000 	-36.1614 
173	-40.9600 	-36.6598 
182	-41.5000 	-37.1347 
191	-41.9455 	-37.5747 
200	-41.9455 	-37.9086 
200	-42.0635 	-37.9086 
203.2449183	-42.1834 	-38.0239 
206.542484	-42.2965 	-38.1275 
209.8935514	-42.4100 	-38.2366 
213.2989884	-42.5253 	-38.3494 
216.7596773	-42.6426 	-38.4611 
220.2765145	-42.7617 	-38.5761 
223.8504109	-42.8827 	-38.6969 
227.4822924	-43.0053 	-38.8124 
231.1730996	-43.1207 	-38.9251 
234.9237886	-43.2380 	-39.0690 
238.7353311	-43.3572 	-39.2096 
242.6087142	-43.4979 	-39.3303 
246.5449415	-43.6517 	-39.4462 
250.5450324	-43.8081 	-39.5589 
254.6100231	-43.9746 	-39.6783 
258.7409667	-44.1545 	-39.7959 
262.9389331	-44.3374 	-39.8993 
267.2050098	-44.5216 	-40.0075 
271.5403019	-44.6978 	-40.1201 
275.9459323	-44.8769 	-40.2466 
280.4230423	-45.0589 	-40.3887 
284.9727915	-45.2124 	-40.5868 
289.5963586	-45.3592 	-40.7684 
294.2949411	-45.5084 	-40.9328 
299.0697562	-45.6452 	-41.0823 
303.9220408	-45.7612 	-41.2227 
308.8530517	-45.8792 	-41.3173 
313.8640662	-45.9990 	-41.4045 
318.9563824	-46.1140 	-41.4824 
324.1313193	-46.2309 	-41.5799 
329.3902175	-46.3497 	-41.6865 
334.7344392	-46.4666 	-41.8155 
340.1653686	-46.5828 	-41.9451 
345.6844127	-46.7009 	-42.0748 
351.293001	-46.8248 	-42.2103 
356.9925863	-46.9696 	-42.3506 
362.7846451	-47.1168 	-42.5140 
368.6706777	-47.2663 	-42.6750 
374.6522088	-47.3946 	-42.8305 
380.7307877	-47.5182 	-43.0036 
386.9079892	-47.6437 	-43.1855 
393.1854131	-47.7972 	-43.3488 
399.5646858	-47.9740 	-43.5073 
406.0474595	-48.1537 	-43.6541 
412.6354135	-48.3333 	-43.7837 
419.3302545	-48.5033 	-43.9052 
426.1337164	-48.6762 	-44.0339 
433.0475618	-48.8518 	-44.1611 
440.0735815	-48.9869 	-44.2819 
447.2135955	-49.1078 	-44.4292 
454.4694533	-49.2307 	-44.5940 
461.8430344	-49.3513 	-44.7492 
469.3362489	-49.4685 	-44.9050 
476.9510377	-49.5875 	-45.0603 
484.6893733	-49.7099 	-45.2106 
492.5532603	-49.8526 	-45.3580 
500.5447356	-49.9976 	-45.5196 
508.6658694	-50.1450 	-45.6804 
516.9187652	-50.2758 	-45.8269 
525.3055609	-50.3975 	-45.9690 
533.8284289	-50.5213 	-46.1076 
542.489577	-50.6425 	-46.2378 
551.2912486	-50.7579 	-46.3616 
560.2357238	-50.8752 	-46.4564 
569.3253194	-50.9944 	-46.5728 
578.56239	-51.1119 	-46.7113 
587.9493283	-51.2311 	-46.8349 
597.4885659	-51.3523 	-46.9550 
607.1825736	-51.4887 	-47.0669 
617.0338627	-51.6360 	-47.1634 
627.0449849	-51.7856 	-47.2413 
637.2185335	-51.9355 	-47.3456 
647.5571438	-52.0814 	-47.4592 
658.0634938	-52.2297 	-47.5796 
668.740305	-52.3804 	-47.7078 
679.5903431	-52.5265 	-47.8462 
690.6164186	-52.6740 	-48.0094 
701.8213877	-52.8238 	-48.1819 
713.2081529	-52.9578 	-48.3366 
724.7796637	-53.0754 	-48.4955 
736.5389175	-53.1949 	-48.6597 
748.4889604	-53.3156 	-48.7993 
760.6328878	-53.4331 	-48.9297 
772.9738455	-53.5525 	-49.0671 
785.5150302	-53.6739 	-49.1967 
798.2596905	-53.8135 	-49.3090 
811.2111277	-53.9597 	-49.4494 
824.3726967	-54.1083 	-49.6057 
837.7478068	-54.2568 	-49.7856 
851.3399225	-54.4038 	-49.9751 
865.1525648	-54.5531 	-50.1822 
879.1893115	-54.7037 	-50.3838 
893.4537988	-54.8220 	-50.5833 
907.9497215	-54.9423 	-50.7000 
922.6808346	-55.0645 	-50.8103 
937.650954	-55.1820 	-50.9138 
952.8639575	-55.2987 	-50.9923 
968.3237857	-55.4172 	-51.0530 
984.0344434	-55.5636 	-51.1520 
1000	-55.7040 	-51.2655 
1011.025023	-55.8458 	-51.3650 
1022.171598	-55.9893 	-51.4657 
1033.441064	-56.1343 	-51.5550 
1044.834776	-56.2424 	-51.6434 
1056.354104	-56.3200 	-51.7364 
1068.000433	-56.3985 	-51.8360 
1079.775162	-56.4779 	-51.9368 
1091.679709	-56.5581 	-52.0307 
1103.715503	-56.6392 	-52.1250 
1115.883993	-56.7212 	-52.2165 
1128.18664	-56.8042 	-52.3044 
1140.624924	-56.8880 	-52.3934 
1153.20034	-56.9728 	-52.4868 
1165.914401	-57.0585 	-52.5812 
1178.768635	-57.1451 	-52.6783 
1191.764587	-57.2327 	-52.7781 
1204.903819	-57.3213 	-52.8800 
1218.187912	-57.4092 	-52.9968 
1231.618462	-57.4868 	-53.1149 
1245.197085	-57.5653 	-53.1867 
1258.925412	-57.6446 	-53.2279 
1272.805094	-57.7248 	-53.2780 
