7232.178015	-11.89417989
7384.093519	-12.16931217
7444.859721	-12.45502646
7536.009024	-12.73015873
7657.541427	-13.01587302
7748.69073	-13.3015873
7870.223134	-13.57671958
7961.372436	-13.86243386
8052.521739	-14.14814815
8143.671042	-14.42328042
8234.820345	-14.70899471
8325.969647	-14.99470899
8447.502051	-15.28042328
8538.651354	-15.56613757
8660.183757	-15.84126984
8751.33306	-16.12698413
8842.482363	-16.41269841
8964.014766	-16.68783069
9055.164069	-16.97354497
9146.313372	-17.25925926
9237.462674	-17.53439153
9328.611977	-17.82010582
9419.76128	-18.10582011
9541.293683	-18.39153439
9662.826087	-18.67724868
9753.97539	-18.95238095
9875.507793	-19.23809524
9966.657096	-19.52380952
10057.8064	-19.7989418
10148.9557	-20.08465608
10240.105	-20.35978836
10361.63741	-20.64550265
10483.16981	-20.93121693
10574.31911	-21.20634921
10695.85152	-21.49206349
10787.00082	-21.77777778
10878.15012	-22.05291005
10969.29943	-22.33862434
11060.44873	-22.62433862
11181.98113	-22.8994709
11273.13043	-23.18518519
11364.27974	-23.46031746
11485.81214	-23.74603175
11576.96144	-24.03174603
11698.49385	-24.30687831
11789.64315	-24.59259259
11850.40935	-24.87830688
11971.94176	-25.15343915
12093.47416	-25.43915344
12184.62346	-25.71428571
12306.15587	-26
12366.92207	-26.28571429
12488.45447	-26.56084656
12609.98687	-26.84656085
12731.51928	-27.13227513
12822.66858	-27.41798942
12913.81788	-27.7037037
13035.35029	-27.97883598
13126.49959	-28.26455026
13217.64889	-28.55026455
13308.7982	-28.82539683
13430.3306	-29.11111111
13551.863	-29.3968254
13643.01231	-29.67195767
13734.16161	-29.95767196
13825.31091	-30.23280423
13916.46021	-30.51851852
14007.60952	-30.8042328
14098.75882	-31.07936508
14189.90812	-31.36507937
14311.44053	-31.65079365
14341.82363	-31.93650794
14372.20673	-32.24338624
14615.27153	-32.4973545
15314.08285	-32.51851852
15374.84906	-32.59259259
15496.38146	-32.24338624
15557.14766	-31.95767196
15648.29696	-31.67195767
15769.82937	-31.3968254
15891.36177	-31.11111111
16012.89418	-30.83597884
16134.42658	-30.55026455
16225.57588	-30.26455026
16347.10829	-29.98941799
16468.64069	-29.7037037
16590.17309	-29.42857143
16681.3224	-29.14285714
16772.4717	-28.85714286
16924.3872	-28.57142857
17045.91961	-28.28571429
17167.45201	-28.01058201
17258.60131	-27.72486772
17380.13372	-27.44973545
17501.66612	-27.16402116
17592.81542	-26.87830688
17714.34783	-26.6031746
17835.88023	-26.31746032
17957.41263	-26.04232804
18048.56194	-25.75661376
18139.71124	-25.47089947
18261.24364	-25.18518519
18382.77605	-24.8994709
18504.30845	-24.62433862
18625.84085	-24.33862434
18716.99016	-24.06349206
18838.52256	-23.77777778
18960.05496	-23.49206349
19081.58737	-23.21693122
19203.11977	-22.93121693
19294.26907	-22.65608466
19415.80148	-22.37037037
19506.95078	-22.08465608
19628.48318	-21.80952381
19750.01559	-21.52380952
19871.54799	-21.24867725
19993.08039	-20.96296296
20084.2297	-20.68783069
20205.7621	-20.4021164
20327.2945	-20.11640212
20479.21001	-19.84126984
20570.35931	-19.55555556
20661.50861	-19.28042328
20783.04102	-18.99470899
20874.19032	-18.70899471
20995.72272	-18.43386243
21117.25513	-18.14814815
21208.40443	-17.87301587
21329.93683	-17.58730159
21421.08614	-17.3015873
21481.85234	-17.02645503
21603.38474	-16.74074074
21876.83265	-16.38095238
22059.13126	-15.9047619
22332.57916	-15.42857143
22454.11157	-15.71428571
22666.79327	-15.98941799
22849.09188	-16.27513228
22940.24118	-16.56084656
23031.39048	-16.84656085
23122.53979	-17.12169312
23213.68909	-17.40740741
23304.83839	-17.69312169
23426.3708	-17.96825397
23517.5201	-18.25396825
23608.6694	-18.53968254
23699.8187	-18.81481481
23790.96801	-19.1005291
23912.50041	-19.38624339
24003.64971	-19.66137566
24094.79902	-19.94708995
24216.33142	-20.23280423
24307.48072	-20.50793651
24398.63002	-20.79365079
24489.77933	-21.06878307
24580.92863	-21.35449735
24672.07793	-21.64021164
24793.61034	-21.91534392
24884.75964	-22.2010582
25006.29204	-22.48677249
25097.44135	-22.76190476
25188.59065	-23.04761905
25310.12305	-23.32275132
25401.27235	-23.60846561
25492.42166	-23.89417989
25583.57096	-24.16931217
25674.72026	-24.45502646
25765.86957	-24.74074074
25887.40197	-25.01587302
25978.55127	-25.3015873
26100.08368	-25.58730159
26191.23298	-25.86243386
26282.38228	-26.14814815
26373.53158	-26.43386243
26464.68089	-26.70899471
26555.83019	-26.99470899
26677.36259	-27.28042328
26768.51189	-27.56613757
26859.6612	-27.85185185
26950.8105	-28.12698413
27041.9598	-28.41269841
27163.49221	-28.6984127
27254.64151	-28.97354497
27376.17391	-29.25925926
27497.70632	-29.54497354
27588.85562	-29.83068783
27680.00492	-30.11640212
27771.15422	-30.39153439
27862.30353	-30.67724868
27953.45283	-30.96296296
28074.98523	-31.23809524
28166.13454	-31.52380952
28257.28384	-31.80952381
28318.05004	-32.0952381
28348.43314	-32.4021164
28561.11485	-32.65608466
29229.54307	-32.67724868
29290.30927	-32.39153439
29442.22477	-32.11640212
29594.14028	-31.83068783
29715.67268	-31.55555556
29837.20509	-31.26984127
29958.73749	-30.99470899
30080.26989	-30.70899471
30201.8023	-30.42328042
30323.3347	-30.13756614
30444.8671	-29.85185185
30566.39951	-29.57671958
30687.93191	-29.29100529
30809.46432	-29.01587302
30930.99672	-28.73015873
31022.14602	-28.45502646
31143.67842	-28.16931217
31265.21083	-27.88359788
31386.74323	-27.60846561
